to_EntiM_C,as_EntiM_C,at_EntiM_C,to_UEnti_C,as_UEnti_C,at_UEnti_C,ra_SSTo_C,ra_SOTo_C,ra_SXTo_C,ra_SNTo_C,ra_OSTo_C,ra_OOTo_C,ra_OXTo_C,ra_ONTo_C,ra_XSTo_C,ra_XOTo_C,ra_XXTo_C,ra_XNTo_C,ra_NSTo_C,ra_NOTo_C,ra_NXTo_C,ra_NNTo_C,LoCohPA_S,LoCohPW_S,LoCohPU_S,LoCoDPA_S,LoCoDPW_S,LoCoDPU_S,to_NoPhr_C,as_NoPhr_C,at_NoPhr_C,ra_NoVeP_C,ra_NoSuP_C,ra_NoPrP_C,ra_NoAjP_C,ra_NoAvP_C,to_VePhr_C,as_VePhr_C,at_VePhr_C,ra_VeNoP_C,ra_VeSuP_C,ra_VePrP_C,ra_VeAjP_C,ra_VeAvP_C,to_SuPhr_C,as_SuPhr_C,at_SuPhr_C,ra_SuNoP_C,ra_SuVeP_C,ra_SuPrP_C,ra_SuAjP_C,ra_SuAvP_C,to_PrPhr_C,as_PrPhr_C,at_PrPhr_C,ra_PrNoP_C,ra_PrVeP_C,ra_PrSuP_C,ra_PrAjP_C,ra_PrAvP_C,to_AjPhr_C,as_AjPhr_C,at_AjPhr_C,ra_AjNoP_C,ra_AjVeP_C,ra_AjSuP_C,ra_AjPrP_C,ra_AjAvP_C,to_AvPhr_C,as_AvPhr_C,at_AvPhr_C,ra_AvNoP_C,ra_AvVeP_C,ra_AvSuP_C,ra_AvPrP_C,ra_AvAjP_C,to_TreeH_C,as_TreeH_C,at_TreeH_C,to_FTree_C,as_FTree_C,at_FTree_C,to_NoTag_C,as_NoTag_C,at_NoTag_C,ra_NoAjT_C,ra_NoVeT_C,ra_NoAvT_C,ra_NoSuT_C,ra_NoCoT_C,to_VeTag_C,as_VeTag_C,at_VeTag_C,ra_VeAjT_C,ra_VeNoT_C,ra_VeAvT_C,ra_VeSuT_C,ra_VeCoT_C,to_AjTag_C,as_AjTag_C,at_AjTag_C,ra_AjNoT_C,ra_AjVeT_C,ra_AjAvT_C,ra_AjSuT_C,ra_AjCoT_C,to_AvTag_C,as_AvTag_C,at_AvTag_C,ra_AvAjT_C,ra_AvNoT_C,ra_AvVeT_C,ra_AvSuT_C,ra_AvCoT_C,to_SuTag_C,as_SuTag_C,at_SuTag_C,ra_SuAjT_C,ra_SuNoT_C,ra_SuVeT_C,ra_SuAvT_C,ra_SuCoT_C,to_CoTag_C,as_CoTag_C,at_CoTag_C,ra_CoAjT_C,ra_CoNoT_C,ra_CoVeT_C,ra_CoAvT_C,ra_CoSuT_C,to_ContW_C,as_ContW_C,at_ContW_C,to_FuncW_C,as_FuncW_C,at_FuncW_C,ra_CoFuW_C,SimpTTR_S,CorrTTR_S,BiLoTTR_S,UberTTR_S,MTLDTTR_S,SimpNoV_S,SquaNoV_S,CorrNoV_S,SimpVeV_S,SquaVeV_S,CorrVeV_S,SimpAjV_S,SquaAjV_S,CorrAjV_S,SimpAvV_S,SquaAvV_S,CorrAvV_S,to_AAKuW_C,as_AAKuW_C,at_AAKuW_C,to_AAKuL_C,as_AAKuL_C,at_AAKuL_C,to_AABiL_C,as_AABiL_C,at_AABiL_C,to_AABrL_C,as_AABrL_C,at_AABrL_C,to_AACoL_C,as_AACoL_C,at_AACoL_C,to_SbFrQ_C,as_SbFrQ_C,at_SbFrQ_C,to_SbCDC_C,as_SbCDC_C,at_SbCDC_C,to_SbFrL_C,as_SbFrL_C,at_SbFrL_C,to_SbCDL_C,as_SbCDL_C,at_SbCDL_C,to_SbSBW_C,as_SbSBW_C,at_SbSBW_C,to_SbL1W_C,as_SbL1W_C,at_SbL1W_C,to_SbSBC_C,as_SbSBC_C,at_SbSBC_C,to_SbL1C_C,as_SbL1C_C,at_SbL1C_C,TokSenM_S,TokSenS_S,TokSenL_S,as_Token_C,as_Sylla_C,at_Sylla_C,as_Chara_C,at_Chara_C,FleschG_S,AutoRea_S,ColeLia_S,SmogInd_S,Gunning_S,LinseaW_S
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,17,5.666666666666667,0.3953488372093023,0.85,8.5,5.666666666666667,0.0,8.5,20,6.666666666666667,0.46511627906976744,1.1764705882352942,10.0,6.666666666666667,0.0,10.0,2,0.6666666666666666,0.046511627906976744,0.11764705882352941,0.1,0.6666666666666666,0.0,1.0,3,1.0,0.06976744186046512,0.17647058823529413,0.15,1.5,0.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,0.046511627906976744,0.11764705882352941,0.1,1.0,0.6666666666666666,0.0,31,10.333333333333334,0.7209302325581395,51,17.0,1.186046511627907,11.0,3.6666666666666665,0.2558139534883721,3.6666666666666665,1.0,5.5,11.0,3.6666666666666665,11.0,3.6666666666666665,0.2558139534883721,3.6666666666666665,1.0,5.5,11.0,3.6666666666666665,3.0,1.0,0.06976744186046512,0.2727272727272727,0.2727272727272727,1.5,3.0,1.0,2.0,0.6666666666666666,0.046511627906976744,0.6666666666666666,0.18181818181818182,0.18181818181818182,2.0,0.6666666666666666,1.0,0.3333333333333333,0.023255813953488372,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.5,0.3333333333333333,3.0,1.0,0.06976744186046512,1.0,0.2727272727272727,0.2727272727272727,1.5,3.0,27.0,9.0,0.627906976744186,30.0,10.0,0.6976744186046512,0.9,0.6976744186046512,3.2349831961031525,0.9042851422530538,32.13348826405381,0.0,1.0,11.0,2.345207879911715,0.6363636363636364,4.454545454545454,1.4924050144892729,1.0,3.0,1.2247448713915892,1.0,2.0,1.0,229.72999999999996,76.57666666666665,5.342558139534883,229.72999999999996,76.57666666666665,5.342558139534883,151.76000000000002,50.58666666666667,3.529302325581396,45.5,15.166666666666666,1.058139534883721,45.5,15.166666666666666,1.058139534883721,12738549.0,4246183.0,296245.32558139536,206832.0,68944.0,4810.046511627907,10202793.0,3400931.0,237274.2558139535,205287.0,68429.0,4774.116279069767,249775.48000000004,83258.49333333335,5808.732093023256,175.03160000000003,58.34386666666668,4.070502325581396,2465.78,821.9266666666667,57.343720930232564,137.78649999999993,45.92883333333331,3.204337209302324,129.0,11.357816691600547,3.423591884497679,14.333333333333334,20.333333333333332,1.4186046511627908,80.66666666666667,5.627906976744186,11.4046511627907,11.345426356589147,-15.783596000000001,4.358898943540674,7.666666666666666,9.166666666666666
5,1.6666666666666667,0.11627906976744186,3,1.0,0.06976744186046512,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,21,7.0,0.4883720930232558,1.5,5.25,5.25,0.0,7.0,14,4.666666666666667,0.32558139534883723,0.6666666666666666,3.5,3.5,0.0,4.666666666666667,4,1.3333333333333333,0.09302325581395349,0.19047619047619047,0.2857142857142857,1.0,0.0,1.3333333333333333,4,1.3333333333333333,0.09302325581395349,0.19047619047619047,0.2857142857142857,1.0,0.0,1.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.06976744186046512,0.14285714285714285,0.21428571428571427,0.75,0.75,0.0,26,8.666666666666666,0.6046511627906976,55,18.333333333333332,1.2790697674418605,15.0,5.0,0.3488372093023256,3.75,2.142857142857143,5.0,15.0,7.5,7.0,2.3333333333333335,0.16279069767441862,1.75,0.4666666666666667,2.3333333333333335,7.0,3.5,4.0,1.3333333333333333,0.09302325581395349,0.26666666666666666,0.5714285714285714,1.3333333333333333,4.0,2.0,3.0,1.0,0.06976744186046512,0.75,0.2,0.42857142857142855,3.0,1.5,1.0,0.3333333333333333,0.023255813953488372,0.25,0.06666666666666667,0.14285714285714285,0.3333333333333333,0.5,2.0,0.6666666666666666,0.046511627906976744,0.5,0.13333333333333333,0.2857142857142857,0.6666666666666666,2.0,31.0,10.333333333333334,0.7209302325581395,33.0,11.0,0.7674418604651163,0.9393939393939394,0.7674418604651163,3.5584815157134675,0.9296255061987647,46.187793846682396,5.0,0.7333333333333333,8.066666666666666,2.008316044185609,1.0,7.0,1.8708286933869707,1.0,4.0,1.414213562373095,0.3333333333333333,0.3333333333333333,0.4082482904638631,224.96999999999994,74.98999999999998,5.231860465116278,224.96999999999994,74.98999999999998,5.231860465116278,205.11999999999998,68.37333333333332,4.770232558139535,45.45,15.15,1.0569767441860465,45.45,15.15,1.0569767441860465,10761157.0,3587052.3333333335,250259.46511627908,232160.0,77386.66666666667,5399.069767441861,8297311.0,2765770.3333333335,192960.72093023255,228508.0,76169.33333333333,5314.139534883721,211003.07,70334.35666666667,4907.048139534884,187.869,62.623,4.369046511627907,2767.7799999999997,922.5933333333332,64.36697674418605,150.43909999999997,50.14636666666666,3.498583720930232,129.0,11.357816691600547,3.423591884497679,14.333333333333334,17.666666666666668,1.2325581395348837,79.66666666666667,5.558139534883721,8.38604651162791,8.493333333333329,-15.783596000000001,2.8284271247461903,6.666666666666666,8.166666666666666
1,0.25,0.022222222222222223,1,0.25,0.022222222222222223,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,18,4.5,0.4,1.0588235294117647,4.5,6.0,9.0,18.0,17,4.25,0.37777777777777777,0.9444444444444444,4.25,5.666666666666667,8.5,17.0,4,1.0,0.08888888888888889,0.2222222222222222,0.23529411764705882,1.3333333333333333,2.0,4.0,3,0.75,0.06666666666666667,0.16666666666666666,0.17647058823529413,0.75,1.5,3.0,2,0.5,0.044444444444444446,0.1111111111111111,0.11764705882352941,0.5,0.6666666666666666,2.0,1,0.25,0.022222222222222223,0.05555555555555555,0.058823529411764705,0.25,0.3333333333333333,0.5,37,9.25,0.8222222222222222,53,13.25,1.1777777777777778,6.0,1.5,0.13333333333333333,1.0,0.6666666666666666,1.0,3.0,2.0,9.0,2.25,0.2,1.5,1.5,1.5,4.5,3.0,6.0,1.5,0.13333333333333333,1.0,0.6666666666666666,1.0,3.0,2.0,6.0,1.5,0.13333333333333333,1.0,1.0,0.6666666666666666,3.0,2.0,2.0,0.5,0.044444444444444446,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.6666666666666666,3.0,0.75,0.06666666666666667,0.5,0.5,0.3333333333333333,0.5,1.5,28.0,7.0,0.6222222222222222,30.0,7.5,0.6666666666666666,0.9333333333333333,0.6888888888888889,3.2676869155073254,0.9020992046742606,31.642205926116596,0.0,1.0,6.0,1.7320508075688774,1.0,9.0,2.121320343559643,1.0,6.0,1.7320508075688774,0.3333333333333333,0.6666666666666666,0.5773502691896258,233.29999999999995,58.32499999999999,5.184444444444443,233.29999999999995,58.32499999999999,5.184444444444443,190.71999999999994,47.679999999999986,4.238222222222221,43.96,10.99,0.9768888888888889,43.96,10.99,0.9768888888888889,17634894.0,4408723.5,391886.5333333333,251190.0,62797.5,5582.0,13534541.0,3383635.25,300767.5777777778,247932.0,61983.0,5509.6,345782.24000000005,86445.56000000001,7684.049777777779,203.2335,50.808375,4.5163,2994.6600000000008,748.6650000000002,66.54800000000002,159.78779999999995,39.94694999999999,3.5508399999999987,180.0,13.416407864998739,2.7459265481648374,11.25,14.0,1.2444444444444445,55.5,4.933333333333334,6.628611111111113,6.054722222222221,-15.78538,3.605551275463989,4.375,5.875
1,0.25,0.03125,1,0.25,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,14,3.5,0.4375,1.0,3.5,7.0,0.0,7.0,14,3.5,0.4375,1.0,3.5,7.0,0.0,7.0,4,1.0,0.125,0.2857142857142857,0.2857142857142857,2.0,0.0,2.0,2,0.5,0.0625,0.14285714285714285,0.14285714285714285,0.5,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.0625,0.14285714285714285,0.14285714285714285,0.5,1.0,0.0,29,7.25,0.90625,43,10.75,1.34375,7.0,1.75,0.21875,3.5,0.875,7.0,3.5,3.5,8.0,2.0,0.25,4.0,1.1428571428571428,8.0,4.0,4.0,2.0,0.5,0.0625,0.2857142857142857,0.25,2.0,1.0,1.0,1.0,0.25,0.03125,0.5,0.14285714285714285,0.125,0.5,0.5,2.0,0.5,0.0625,1.0,0.2857142857142857,0.25,2.0,1.0,2.0,0.5,0.0625,1.0,0.2857142857142857,0.25,2.0,1.0,19.0,4.75,0.59375,32.0,8.0,1.0,0.59375,0.71875,2.875,0.9047123912114026,29.770087693314423,0.0,1.0,7.0,1.8708286933869707,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,0.7071067811865475,141.71999999999997,35.42999999999999,4.428749999999999,141.71999999999997,35.42999999999999,4.428749999999999,109.32000000000001,27.330000000000002,3.4162500000000002,49.14999999999999,12.287499999999998,1.5359374999999997,49.14999999999999,12.287499999999998,1.5359374999999997,16937648.0,4234412.0,529301.5,188733.0,47183.25,5897.90625,13058507.0,3264626.75,408078.34375,187287.0,46821.75,5852.71875,332110.7700000001,83027.69250000002,10378.461562500002,148.44119999999998,37.110299999999995,4.638787499999999,2250.0500000000006,562.5125000000002,70.31406250000002,113.2822,28.32055,3.54006875,128.0,11.313708498984761,2.5,8.0,10.0,1.25,40.5,5.0625,6.705000000000002,4.689999999999998,-15.793024,2.6457513110645907,3.0,3.5
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,13,3.25,0.37142857142857144,0.8666666666666667,13.0,4.333333333333333,6.5,0.0,15,3.75,0.42857142857142855,1.1538461538461537,15.0,5.0,7.5,0.0,1,0.25,0.02857142857142857,0.07692307692307693,0.06666666666666667,0.3333333333333333,0.5,0.0,3,0.75,0.08571428571428572,0.23076923076923078,0.2,3.0,1.5,0.0,2,0.5,0.05714285714285714,0.15384615384615385,0.13333333333333333,2.0,0.6666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,9.25,1.0571428571428572,45,11.25,1.2857142857142858,11.0,2.75,0.3142857142857143,2.75,1.375,11.0,11.0,0.0,8.0,2.0,0.22857142857142856,2.0,0.7272727272727273,8.0,8.0,0.0,4.0,1.0,0.11428571428571428,0.36363636363636365,0.5,4.0,4.0,0.0,1.0,0.25,0.02857142857142857,0.25,0.09090909090909091,0.125,1.0,0.0,1.0,0.25,0.02857142857142857,0.25,0.09090909090909091,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,0.6857142857142857,26.0,6.5,0.7428571428571429,0.9230769230769231,0.6285714285714286,2.629502940535666,0.8694064265717518,20.578134920493248,0.0,0.45454545454545453,2.272727272727273,1.0660035817780522,1.0,8.0,2.0,1.0,4.0,1.414213562373095,1.0,1.0,0.7071067811865475,206.10999999999999,51.527499999999996,5.888857142857143,206.10999999999999,51.527499999999996,5.888857142857143,108.41999999999999,27.104999999999997,3.0977142857142854,30.68,7.67,0.8765714285714286,30.68,7.67,0.8765714285714286,9913872.0,2478468.0,283253.4857142857,157321.0,39330.25,4494.885714285714,8691278.0,2172819.5,248322.22857142857,154444.0,38611.0,4412.685714285714,194389.69,48597.4225,5553.991142857143,138.15510000000003,34.53877500000001,3.9472885714285724,1875.54,468.885,53.58685714285714,110.28409999999998,27.571024999999995,3.1509742857142853,140.0,11.832159566199232,2.564641508472483,8.75,15.25,1.7428571428571429,54.5,6.228571428571429,12.771071428571432,12.601214285714281,-15.791260000000001,4.358898943540674,4.875,6.375
2,0.6666666666666666,0.05714285714285714,2,0.6666666666666666,0.05714285714285714,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,18,6.0,0.5142857142857142,2.25,9.0,6.0,0.0,0.0,8,2.6666666666666665,0.22857142857142856,0.4444444444444444,4.0,2.6666666666666665,0.0,0.0,2,0.6666666666666666,0.05714285714285714,0.1111111111111111,0.25,0.6666666666666666,0.0,0.0,3,1.0,0.08571428571428572,0.16666666666666666,0.375,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,8.666666666666666,0.7428571428571429,41,13.666666666666666,1.1714285714285715,11.0,3.6666666666666665,0.3142857142857143,5.5,2.2,0.0,0.0,5.5,5.0,1.6666666666666667,0.14285714285714285,2.5,0.45454545454545453,0.0,0.0,2.5,2.0,0.6666666666666666,0.05714285714285714,0.18181818181818182,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.05714285714285714,1.0,0.18181818181818182,0.4,0.0,0.0,20.0,6.666666666666667,0.5714285714285714,33.0,11.0,0.9428571428571428,0.6060606060606061,0.45714285714285713,1.9123657749350298,0.7798360875751452,9.820704573209385,0.0,0.2727272727272727,0.8181818181818182,0.6396021490668313,1.0,5.0,1.5811388300841895,0.0,0.0,0.0,0.0,0.0,0.0,205.06999999999996,68.35666666666665,5.8591428571428565,205.06999999999996,68.35666666666665,5.8591428571428565,104.86999999999998,34.956666666666656,2.9962857142857136,101.56,33.85333333333333,2.9017142857142857,101.56,33.85333333333333,2.9017142857142857,13213792.0,4404597.333333333,377536.9142857143,159817.0,53272.333333333336,4566.2,11654899.0,3884966.3333333335,332997.1142857143,157620.0,52540.0,4503.428571428572,259093.99,86364.66333333333,7402.685428571428,148.8764,49.62546666666666,4.253611428571428,1905.2800000000002,635.0933333333334,54.43657142857143,115.48589999999997,38.49529999999999,3.299597142857142,105.0,10.246950765959598,3.236217269879349,11.666666666666666,17.0,1.457142857142857,64.66666666666667,5.542857142857143,9.525714285714287,8.340952380952377,-15.788300000000001,4.123105625617661,5.0,6.5
2,0.4,0.05128205128205128,2,0.4,0.05128205128205128,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.05357142857142857,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,19,3.8,0.48717948717948717,1.0555555555555556,4.75,6.333333333333333,19.0,9.5,18,3.6,0.46153846153846156,0.9473684210526315,4.5,6.0,18.0,9.0,4,0.8,0.10256410256410256,0.21052631578947367,0.2222222222222222,1.3333333333333333,4.0,2.0,3,0.6,0.07692307692307693,0.15789473684210525,0.16666666666666666,0.75,3.0,1.5,1,0.2,0.02564102564102564,0.05263157894736842,0.05555555555555555,0.25,0.3333333333333333,0.5,2,0.4,0.05128205128205128,0.10526315789473684,0.1111111111111111,0.5,0.6666666666666666,2.0,32,6.4,0.8205128205128205,51,10.2,1.3076923076923077,7.0,1.4,0.1794871794871795,1.75,1.0,3.5,0.0,7.0,7.0,1.4,0.1794871794871795,1.75,1.0,3.5,0.0,7.0,4.0,0.8,0.10256410256410256,0.5714285714285714,0.5714285714285714,2.0,0.0,4.0,2.0,0.4,0.05128205128205128,0.5,0.2857142857142857,0.2857142857142857,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.02564102564102564,0.25,0.14285714285714285,0.14285714285714285,0.5,0.0,21.0,4.2,0.5384615384615384,42.0,8.4,1.0769230769230769,0.5,0.6410256410256411,2.830692585361489,0.8786192606500202,23.299959388246975,0.0,0.7142857142857143,3.5714285714285716,1.3363062095621219,0.7142857142857143,3.5714285714285716,1.3363062095621219,1.0,4.0,1.414213562373095,1.0,2.0,1.0,168.94,33.788,4.331794871794871,177.34999999999997,35.46999999999999,4.547435897435896,123.92999999999998,24.785999999999994,3.177692307692307,25.42,5.0840000000000005,0.6517948717948718,25.42,5.0840000000000005,0.6517948717948718,14911150.0,2982230.0,382337.1794871795,226773.0,45354.6,5814.692307692308,11959213.0,2391842.6,306646.4871794872,223834.0,44766.8,5739.333333333333,292375.5,58475.1,7496.807692307692,177.91449999999998,35.582899999999995,4.561910256410256,2703.560000000001,540.7120000000002,69.3220512820513,138.21019999999996,27.64203999999999,3.543851282051281,195.0,13.96424004376894,2.276298835653068,7.8,8.6,1.1025641025641026,40.0,5.128205128205129,5.000717948717952,4.578564102564101,-15.791868000000001,2.449489742783178,2.5999999999999996,3.0999999999999996
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,20,5.0,0.46511627906976744,1.1764705882352942,10.0,5.0,10.0,10.0,17,4.25,0.3953488372093023,0.85,8.5,4.25,8.5,8.5,2,0.5,0.046511627906976744,0.1,0.11764705882352941,0.5,1.0,1.0,4,1.0,0.09302325581395349,0.2,0.23529411764705882,2.0,2.0,2.0,2,0.5,0.046511627906976744,0.1,0.11764705882352941,1.0,0.5,1.0,2,0.5,0.046511627906976744,0.1,0.11764705882352941,1.0,0.5,1.0,40,10.0,0.9302325581395349,50,12.5,1.1627906976744187,7.0,1.75,0.16279069767441862,1.75,0.7777777777777778,2.3333333333333335,7.0,7.0,9.0,2.25,0.20930232558139536,2.25,1.2857142857142858,3.0,9.0,9.0,4.0,1.0,0.09302325581395349,0.5714285714285714,0.4444444444444444,1.3333333333333333,4.0,4.0,3.0,0.75,0.06976744186046512,0.75,0.42857142857142855,0.3333333333333333,3.0,3.0,1.0,0.25,0.023255813953488372,0.25,0.14285714285714285,0.1111111111111111,0.3333333333333333,1.0,1.0,0.25,0.023255813953488372,0.25,0.14285714285714285,0.1111111111111111,0.3333333333333333,1.0,23.0,5.75,0.5348837209302325,30.0,7.5,0.6976744186046512,0.7666666666666667,0.6976744186046512,3.2349831961031525,0.9042851422530538,32.13348826405381,0.0,1.0,7.0,1.8708286933869707,1.0,9.0,2.121320343559643,1.0,4.0,1.414213562373095,0.3333333333333333,0.3333333333333333,0.4082482904638631,235.54999999999998,58.887499999999996,5.477906976744186,235.54999999999998,58.887499999999996,5.477906976744186,164.83999999999997,41.209999999999994,3.8334883720930226,43.52,10.88,1.012093023255814,43.52,10.88,1.012093023255814,18752080.0,4688020.0,436094.88372093026,239248.0,59812.0,5563.906976744186,15240468.0,3810117.0,354429.488372093,237207.0,59301.75,5516.441860465116,367687.8400000001,91921.96000000002,8550.880000000003,190.3326,47.58315,4.426339534883721,2852.25,713.0625,66.3313953488372,143.57899999999998,35.894749999999995,3.3390465116279064,172.0,13.114877048604,2.713132377351049,10.75,12.5,1.1627906976744187,55.25,5.1395348837209305,6.439709302325582,7.574941860465113,-15.786556000000001,3.7416573867739413,4.125,5.625
1,0.3333333333333333,0.025,1,0.3333333333333333,0.025,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,15,5.0,0.375,0.6521739130434783,3.75,3.0,0.0,5.0,23,7.666666666666667,0.575,1.5333333333333334,5.75,4.6,0.0,7.666666666666667,4,1.3333333333333333,0.1,0.26666666666666666,0.17391304347826086,0.8,0.0,1.3333333333333333,5,1.6666666666666667,0.125,0.3333333333333333,0.21739130434782608,1.25,0.0,1.6666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.075,0.2,0.13043478260869565,0.75,0.6,0.0,37,12.333333333333334,0.925,54,18.0,1.35,14.0,4.666666666666667,0.35,7.0,1.1666666666666667,7.0,14.0,14.0,12.0,4.0,0.3,6.0,0.8571428571428571,6.0,12.0,12.0,2.0,0.6666666666666666,0.05,0.14285714285714285,0.16666666666666666,1.0,2.0,2.0,2.0,0.6666666666666666,0.05,1.0,0.14285714285714285,0.16666666666666666,2.0,2.0,1.0,0.3333333333333333,0.025,0.5,0.07142857142857142,0.08333333333333333,0.5,1.0,1.0,0.3333333333333333,0.025,0.5,0.07142857142857142,0.08333333333333333,0.5,1.0,31.0,10.333333333333334,0.775,34.0,11.333333333333334,0.85,0.9117647058823529,0.575,2.571478174124758,0.8499855457278126,17.765786471597703,0.0,0.35714285714285715,1.7857142857142858,0.944911182523068,0.8333333333333334,8.333333333333334,2.041241452319315,1.0,2.0,1.0,1.0,2.0,1.0,190.09999999999997,63.36666666666665,4.7524999999999995,194.69999999999996,64.89999999999999,4.867499999999999,133.2,44.4,3.3299999999999996,59.370000000000005,19.790000000000003,1.48425,59.370000000000005,19.790000000000003,1.48425,9964542.0,3321514.0,249113.55,221706.0,73902.0,5542.65,7863816.0,2621272.0,196595.4,217066.0,72355.33333333333,5426.65,195383.14,65127.71333333334,4884.5785000000005,172.05920000000003,57.35306666666668,4.301480000000001,2643.13,881.0433333333334,66.07825,138.01039999999998,46.00346666666666,3.450259999999999,120.0,10.954451150103322,3.357762781432299,13.333333333333334,17.666666666666668,1.325,76.0,5.7,9.965000000000003,10.459333333333337,-15.78536,3.4641016151377544,5.833333333333333,7.333333333333333
2,0.3333333333333333,0.05,2,0.3333333333333333,0.05,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.9733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,23,3.8333333333333335,0.575,2.3,23.0,2.875,0.0,0.0,10,1.6666666666666667,0.25,0.43478260869565216,10.0,1.25,0.0,0.0,1,0.16666666666666666,0.025,0.043478260869565216,0.1,0.125,0.0,0.0,8,1.3333333333333333,0.2,0.34782608695652173,0.8,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,6.666666666666667,1.0,54,9.0,1.35,14.0,2.3333333333333335,0.35,14.0,1.75,14.0,14.0,7.0,8.0,1.3333333333333333,0.2,8.0,0.5714285714285714,8.0,8.0,4.0,1.0,0.16666666666666666,0.025,0.07142857142857142,0.125,1.0,1.0,0.5,1.0,0.16666666666666666,0.025,1.0,0.07142857142857142,0.125,1.0,0.5,1.0,0.16666666666666666,0.025,1.0,0.07142857142857142,0.125,1.0,0.5,2.0,0.3333333333333333,0.05,2.0,0.14285714285714285,0.25,2.0,2.0,24.0,4.0,0.6,37.0,6.166666666666667,0.925,0.6486486486486487,0.7,3.1304951684997055,0.9033107618789334,31.130829586782752,0.0,0.5714285714285714,4.571428571428571,1.5118578920369088,1.0,8.0,2.0,1.0,1.0,0.7071067811865475,1.0,1.0,0.7071067811865475,180.26,30.043333333333333,4.5065,180.26,30.043333333333333,4.5065,134.54999999999998,22.424999999999997,3.3637499999999996,68.13,11.354999999999999,1.70325,68.13,11.354999999999999,1.70325,8775624.0,1462604.0,219390.6,190029.0,31671.5,4750.725,7499355.0,1249892.5,187483.875,185997.0,30999.5,4649.925,172071.08000000005,28678.51333333334,4301.777000000001,164.65599999999995,27.442666666666657,4.116399999999999,2265.4900000000002,377.5816666666667,56.63725000000001,133.701,22.2835,3.3425249999999997,240.0,15.491933384829668,2.058802823407552,6.666666666666667,7.833333333333333,1.175,37.5,5.625,6.48,7.846666666666668,-15.79424,3.3166247903554,2.0,2.5
